GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
r43ples,de.tud.plt.r43ples.webservice,Endpoint,215,552,21,29,46,106,17,25,1,16
r43ples,de.tud.plt.r43ples.webservice,ExceptionMapper,58,0,2,0,13,0,4,0,3,0
r43ples,de.tud.plt.r43ples.webservice,Merging,0,62,0,0,0,13,0,3,0,3
r43ples,de.tud.plt.r43ples.webservice,Misc,59,326,6,44,13,62,6,27,1,7
r43ples,de.tud.plt.r43ples.webservice,Configuration,90,0,8,0,19,0,9,0,5,0
r43ples,de.tud.plt.r43ples.webservice,Debug,22,214,3,7,7,47,3,9,0,7
r43ples,de.tud.plt.r43ples.webservice,API,84,28,7,1,12,6,7,3,3,3
r43ples,de.tud.plt.r43ples.iohelper,Helper,227,513,15,27,57,113,14,23,2,14
r43ples,de.tud.plt.r43ples.iohelper,ResourceManagement,8,4,0,0,4,1,1,1,1,1
r43ples,de.tud.plt.r43ples.iohelper,JenaModelManagement,18,89,0,2,9,24,2,8,2,7
r43ples,de.tud.plt.r43ples.revisionTree,Revision,45,0,0,0,15,0,7,0,7,0
r43ples,de.tud.plt.r43ples.revisionTree,Tag,6,0,0,0,2,0,1,0,1,0
r43ples,de.tud.plt.r43ples.revisionTree,StructuredTree,86,296,5,19,12,60,5,16,0,9
r43ples,de.tud.plt.r43ples.revisionTree,Reference,7,30,1,1,2,10,2,4,1,4
r43ples,de.tud.plt.r43ples.revisionTree,Branch,6,6,0,0,2,2,1,1,1,1
r43ples,de.tud.plt.r43ples.revisionTree,Commit,12,150,6,14,6,38,6,18,0,14
r43ples,de.tud.plt.r43ples.management,R43plesRequest,21,185,1,1,3,30,4,9,3,9
r43ples,de.tud.plt.r43ples.management,Config,3,163,0,4,1,40,1,5,1,3
r43ples,de.tud.plt.r43ples.management,SparqlRewriter,5,706,0,28,3,138,0,22,0,8
r43ples,de.tud.plt.r43ples.management,GitRepositoryState,3,51,1,1,2,14,1,3,0,3
r43ples,de.tud.plt.r43ples.optimization,SimplePathCalculation,67,544,9,23,8,94,8,14,0,6
r43ples,de.tud.plt.r43ples.optimization,ChangeSetPath,9,32,0,0,3,11,2,4,2,4
r43ples,de.tud.plt.r43ples.optimization,PathCalculationFabric,3,12,0,0,2,3,1,2,1,2
r43ples,de.tud.plt.r43ples.exception,InternalErrorException,0,11,0,0,0,4,0,2,0,2
r43ples,de.tud.plt.r43ples.exception,QueryErrorException,4,0,0,0,2,0,1,0,1,0
r43ples,de.tud.plt.r43ples.exception,IdentifierAlreadyExistsException,4,0,0,0,2,0,1,0,1,0
r43ples,de.tud.plt.r43ples.exception,OutdatedException,0,27,0,0,0,6,0,1,0,1
r43ples,de.tud.plt.r43ples,R43plesService,267,0,12,0,61,0,11,0,5,0
r43ples,de.tud.plt.r43ples,R43plesService.new Thread() {...},5,0,0,0,2,0,2,0,2,0
r43ples,de.tud.plt.r43ples.client,ConsoleClientArgs,0,17,0,0,0,5,0,1,0,1
r43ples,de.tud.plt.r43ples.client,ConsoleClient,78,159,7,3,18,27,6,3,2,2
r43ples,de.tud.plt.r43ples.client,R43plesArgs,0,6,0,0,0,2,0,1,0,1
r43ples,de.tud.plt.r43ples.visualisation,VisualisationTable,6,193,0,0,2,39,0,3,0,3
r43ples,de.tud.plt.r43ples.visualisation,MessagesTableView,123,351,7,15,19,76,5,9,0,3
